client-api 2.5
audio-decoders 184
V cscd | camstudio | CamStudio
V cyuv | cyuv | Creative YUV (CYUV)
V dds | dds | DirectDraw Surface image decoder
V derf_dpcm | derf_dpcm | DPCM Xilam DERF
V dfa | dfa | Chronomaster DFA
V dirac | dirac | BBC Dirac VC-2
V dnxhd | dnxhd | VC3/DNxHD
V dpx | dpx | DPX (Digital Picture Exchange) image
V dsicinaudio | dsicinaudio | Delphine Software International CIN audio
V dsicinvideo | dsicinvideo | Delphine Software International CIN video
V dss_sp | dss_sp | Digital Speech Standard - Standard Play mode (DSS SP)
V dvaudio | dvaudio | Ulead DV Audio
V dvvideo | dvvideo | DV (Digital Video)
V dxa | dxa | Feeble Files/ScummVM DXA
V dxtory | dxtory | Dxtory
V dxv | dxv | Resolume DXV
V escape124 | escape124 | Escape 124
V escape130 | escape130 | Escape 130
V exr | exr | OpenEXR image
V fastaudio | fastaudio | MobiClip FastAudio
V ffv1 | ffv1 | FFmpeg video codec #1
V ffvhuff | ffvhuff | Huffyuv FFmpeg variant
V fic | fic | Mirillis FIC
V fits | fits | Flexible Image Transport System
V flashsv | flashsv | Flash Screen Video v1
V flashsv2 | flashsv2 | Flash Screen Video v2
V flic | flic | Autodesk Animator Flic video
V flv1 | flv | FLV / Sorenson Spark / Sorenson H.263 (Flash Video)
V fmvc | fmvc | FM Screen Capture Codec
V fraps | fraps | Fraps
V frwu | frwu | Forward Uncompressed
V g2m | g2m | Go2Meeting
V g728 | g728 | G.728)
V gdv | gdv | Gremlin Digital Video
V gem | gem | GEM Raster image
V gif | gif | GIF (Graphics Interchange Format)
V gremlin_dpcm | gremlin_dpcm | DPCM Gremlin
V h261 | h261 | H.261
V h263 | h263 | H.263 / H.263-1996, H.263+ / H.263-1998 / H.263 version 2
V h263i | h263i | Intel H.263
V h263p | h263p | H.263 / H.263-1996, H.263+ / H.263-1998 / H.263 version 2
V h264 | h264 | H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10
V h264 | h264_amf | H264 AMD AMF video decoder
V h264 | h264_cuvid | Nvidia CUVID H264 decoder
V h264 | h264_qsv | H264 video (Intel Quick Sync Video acceleration)
V hap | hap | Vidvox Hap
V hca | hca | CRI HCA
V hdr | hdr | HDR (Radiance RGBE format) image
V hevc | hevc | HEVC (High Efficiency Video Coding)
V hevc | hevc_amf | HEVC AMD AMF video decoder
V hevc | hevc_cuvid | Nvidia CUVID HEVC decoder
V hevc | hevc_qsv | HEVC video (Intel Quick Sync Video acceleration)
V hnm4video | hnm4video | HNM 4 video
V hq_hqa | hq_hqa | Canopus HQ/HQA
V hqx | hqx | Canopus HQX
V huffyuv | huffyuv | Huffyuv / HuffYUV
V hymt | hymt | HuffYUV MT
V idcin | idcinvideo | id Quake II CIN video
V idf | idf | iCEDraw text
V iff_ilbm | iff | IFF ACBM/ANIM/DEEP/ILBM/PBM/RGB8/RGBN
V imm4 | imm4 | Infinity IMM4
V imm5 | imm5 | Infinity IMM5
V indeo2 | indeo2 | Intel Indeo 2
V indeo3 | indeo3 | Intel Indeo 3
V indeo4 | indeo4 | Intel Indeo Video Interactive 4
V indeo5 | indeo5 | Intel Indeo Video Interactive 5
V interplay_dpcm | interplay_dpcm | DPCM Interplay
V interplayvideo | interplayvideo | Interplay MVE video
V ipu | ipu | IPU Video
V jpeg2000 | jpeg2000 | JPEG 2000
V jpegls | jpegls | JPEG-LS
V jpegxl | libjxl | libjxl JPEG XL
V jpegxl_anim | libjxl_anim | libjxl JPEG XL animated
V jv | jv | Bitmap Brothers JV video
V kgv1 | kgv1 | Kega Game Video
V kmvc | kmvc | Karl Morton's video codec
V lagarith | lagarith | Lagarith lossless
V lead | lead | LEAD MCMP
V loco | loco | LOCO
V lscr | lscr | LEAD Screen Capture
V m101 | m101 | Matrox Uncompressed SD
V mad | eamad | Electronic Arts Madcow Video
V magicyuv | magicyuv | MagicYUV video
V mdec | mdec | Sony PlayStation MDEC (Motion DECoder)
V media100 | media100 | Media 100
V mimic | mimic | Mimic
V mjpeg | mjpeg | MJPEG (Motion JPEG)
V mjpeg | mjpeg_cuvid | Nvidia CUVID MJPEG decoder
V mjpeg | mjpeg_qsv | MJPEG video (Intel Quick Sync Video acceleration)
V mjpegb | mjpegb | Apple MJPEG-B
V mmvideo | mmvideo | American Laser Games MM Video
V mobiclip | mobiclip | MobiClip Video
V motionpixels | motionpixels | Motion Pixels video
V mpeg1video | mpeg1_cuvid | Nvidia CUVID MPEG1VIDEO decoder
V mpeg1video | mpeg1video | MPEG-1 video
V mpeg2video | mpeg2_cuvid | Nvidia CUVID MPEG2VIDEO decoder
V mpeg2video | mpeg2_qsv | MPEG2VIDEO video (Intel Quick Sync Video acceleration)
V mpeg2video | mpeg2video | MPEG-2 video
V mpeg2video | mpegvideo | MPEG-1 video
